fecha,id,valor
2003-03-07,77,2.4
2003-03-07,78,0.78
2003-03-07,81,2.1
2003-03-07,107,968.0
2003-03-07,108,723.0
2003-03-07,118,172.0
2003-03-07,119,652.0
2003-03-07,120,27.0
2003-03-07,121,28.0
2003-03-07,122,1.0
2003-03-07,123,16.0
2003-03-07,124,485.0
2003-03-07,125,1381.0
2003-03-07,158,0.0
2003-03-10,77,25.49
2003-03-10,78,26.28
2003-03-10,81,0.0
2003-03-10,107,968.0
2003-03-10,108,724.0
2003-03-10,118,177.0
2003-03-10,119,652.0
2003-03-10,120,27.0
2003-03-10,121,28.0
2003-03-10,122,1.0
2003-03-10,123,16.0
2003-03-10,124,488.0
2003-03-10,125,1389.0
2003-03-10,158,0.0
2003-03-11,77,5.22
2003-03-11,78,4.87
2003-03-11,81,59.9
2003-03-11,107,983.0
2003-03-11,108,744.0
2003-03-11,118,177.0
2003-03-11,119,649.0
2003-03-11,120,27.0
2003-03-11,121,28.0
2003-03-11,122,1.0
2003-03-11,123,15.0
2003-03-11,124,486.0
2003-03-11,125,1383.0
2003-03-11,158,0.0
2003-03-12,77,2.69
2003-03-12,78,1.78
2003-03-12,81,0.0
2003-03-12,107,978.0
2003-03-12,108,739.0
2003-03-12,118,177.0
2003-03-12,119,650.0
2003-03-12,120,27.0
2003-03-12,121,28.0
2003-03-12,122,1.0
2003-03-12,123,15.0
2003-03-12,124,484.0
2003-03-12,125,1382.0
2003-03-12,158,0.0
2003-03-13,77,-0.651
2003-03-13,78,-1.76
2003-03-13,81,0.8
2003-03-13,107,982.0
2003-03-13,108,743.0
2003-03-13,118,177.0
2003-03-13,119,650.0
2003-03-13,120,27.0
2003-03-13,121,28.0
2003-03-13,122,1.0
2003-03-13,123,16.0
2003-03-13,124,483.0
2003-03-13,125,1382.0
2003-03-13,158,0.0
2003-03-14,77,14.361
2003-03-14,78,-6.97
2003-03-14,81,0.4
2003-03-14,107,985.0
2003-03-14,108,745.0
2003-03-14,118,177.0
2003-03-14,119,650.0
2003-03-14,120,27.0
2003-03-14,121,28.0
2003-03-14,122,1.0
2003-03-14,123,16.0
2003-03-14,124,484.0
2003-03-14,125,1383.0
2003-03-14,158,0.0
2003-03-17,77,-116.91
2003-03-17,78,18.9
2003-03-17,81,8.4
2003-03-17,107,984.0
2003-03-17,108,744.0
2003-03-17,118,177.0
2003-03-17,119,650.0
2003-03-17,120,27.0
2003-03-17,121,28.0
2003-03-17,122,1.0
2003-03-17,123,16.0
2003-03-17,124,484.0
2003-03-17,125,1383.0
2003-03-17,158,0.0
2003-03-18,77,15.25
2003-03-18,78,11.97
2003-03-18,81,2.9
2003-03-18,107,1041.0
2003-03-18,108,741.0
2003-03-18,118,177.0
2003-03-18,119,650.0
2003-03-18,120,27.0
2003-03-18,121,28.0
2003-03-18,122,0.0
2003-03-18,123,16.0
2003-03-18,124,485.0
2003-03-18,125,1383.0
2003-03-18,158,0.0
2003-03-19,77,-48.57
2003-03-19,78,-3.36
2003-03-19,81,0.0
2003-03-19,107,1040.0
2003-03-19,108,743.0
2003-03-19,118,174.0
2003-03-19,119,651.0
2003-03-19,120,27.0
2003-03-19,121,28.0
2003-03-19,122,0.0
2003-03-19,123,16.0
2003-03-19,124,481.0
2003-03-19,125,1377.0
2003-03-19,158,0.0
2003-03-20,77,337.38
2003-03-20,78,23.04
2003-03-20,81,-0.7
2003-03-20,107,1048.0
2003-03-20,108,749.0
2003-03-20,118,172.0
2003-03-20,119,650.0
2003-03-20,120,27.0
2003-03-20,121,28.0
2003-03-20,122,0.0
2003-03-20,123,16.0
2003-03-20,124,479.0
2003-03-20,125,1372.0
2003-03-20,158,0.0
2003-03-21,77,-5.78
2003-03-21,78,1.06
2003-03-21,81,2.3
2003-03-21,107,1050.0
2003-03-21,108,751.0
2003-03-21,118,170.0
2003-03-21,119,650.0
2003-03-21,120,27.0
2003-03-21,121,28.0
2003-03-21,122,0.0
2003-03-21,123,16.0
2003-03-21,124,478.0
2003-03-21,125,1369.0
2003-03-21,158,0.0
2003-03-24,77,-11.51
2003-03-24,78,21.23
2003-03-24,81,0.9
2003-03-24,107,1040.0
2003-03-24,108,742.0
2003-03-24,118,170.0
2003-03-24,119,650.0
2003-03-24,120,27.0
2003-03-24,121,28.0
2003-03-24,122,0.0
2003-03-24,123,16.0
2003-03-24,124,481.0
2003-03-24,125,1372.0
2003-03-24,158,0.0
2003-03-25,77,37.86
2003-03-25,78,19.07
2003-03-25,81,13.2
2003-03-25,107,1023.0
2003-03-25,108,742.0
2003-03-25,118,170.0
2003-03-25,119,667.0
2003-03-25,120,27.0
2003-03-25,121,28.0
2003-03-25,122,0.0
2003-03-25,123,16.0
2003-03-25,124,458.0
2003-03-25,125,1366.0
2003-03-25,158,0.0
2003-03-26,77,21.22
2003-03-26,78,17.23
2003-03-26,81,-1.2
2003-03-26,107,1015.0
2003-03-26,108,739.0
2003-03-26,118,169.0
2003-03-26,119,662.0
2003-03-26,120,27.0
2003-03-26,121,28.0
2003-03-26,122,0.0
2003-03-26,123,17.0
2003-03-26,124,459.0
2003-03-26,125,1362.0
2003-03-26,158,0.0
2003-03-27,77,21.1
2003-03-27,78,19.92
2003-03-27,81,3.8
2003-03-27,107,1011.0
2003-03-27,108,743.0
2003-03-27,118,169.0
2003-03-27,119,663.0
2003-03-27,120,26.0
2003-03-27,121,28.0
2003-03-27,122,0.0
2003-03-27,123,17.0
2003-03-27,124,462.0
2003-03-27,125,1365.0
2003-03-27,158,0.0
2003-03-28,77,-59.35
2003-03-28,78,1.48
2003-03-28,81,2.8
2003-03-28,107,1033.0
2003-03-28,108,765.0
2003-03-28,118,135.0
2003-03-28,119,677.0
2003-03-28,120,24.0
2003-03-28,121,28.0
2003-03-28,122,0.0
2003-03-28,123,16.0
2003-03-28,124,498.0
2003-03-28,125,1378.0
2003-03-28,158,0.0
2003-04-01,77,-3.44
2003-04-01,78,3.15
2003-04-01,81,-10.4
2003-04-01,107,1018.0
2003-04-01,108,753.0
2003-04-01,118,172.0
2003-04-01,119,665.0
2003-04-01,120,26.0
2003-04-01,121,28.0
2003-04-01,122,0.0
2003-04-01,123,16.0
2003-04-01,124,462.0
2003-04-01,125,1369.0
2003-04-01,158,0.0
2003-04-02,77,2.12
2003-04-02,78,8.81
2003-04-02,81,3.8
2003-04-02,107,1018.0
2003-04-02,108,755.0
2003-04-02,118,166.0
2003-04-02,119,668.0
2003-04-02,120,26.0
2003-04-02,121,28.0
2003-04-02,122,0.0
2003-04-02,123,16.0
2003-04-02,124,462.0
2003-04-02,125,1366.0
2003-04-02,158,0.0
2003-04-03,77,24.3
2003-04-03,78,32.79
2003-04-03,81,-4.3
2003-04-03,107,1024.0
2003-04-03,108,762.0
2003-04-03,118,166.0
2003-04-03,119,676.0
2003-04-03,120,24.0
2003-04-03,121,27.0
2003-04-03,122,0.0
2003-04-03,123,19.0
2003-04-03,124,455.0
2003-04-03,125,1367.0
2003-04-03,158,0.0
2003-04-04,77,6.87
2003-04-04,78,2.64
2003-04-04,81,9.4
2003-04-04,107,1030.0
2003-04-04,108,764.0
